cbow,size,window,iter,mean_distance
1,75,5,1,0.5595791876945999
1,75,5,3,0.5266660302221888
1,75,5,5,0.517570640619549
1,75,5,7,0.508268480235254
1,75,5,10,0.5039204641204664
1,100,1,1,0.4866195468929903
1,100,1,3,0.5200989811044655
1,100,1,5,0.5357287019726464
1,100,1,7,0.5473927275203997
1,100,1,10,0.5583468512976737
1,100,2,1,0.5270685748180525
1,100,2,3,0.5338595006384586
1,100,2,5,0.5389224674453028
1,100,2,7,0.5425987534979755
1,100,2,10,0.5476465105696586
1,100,3,1,0.5466222263075318
1,100,3,3,0.5414661348030549
1,100,3,5,0.5366731327098416
1,100,3,7,0.5362552971353467
1,100,3,10,0.5388200399987251
1,100,4,1,0.5606206977751872
1,100,4,3,0.5446428417534325
1,100,4,5,0.5346126269074524
1,100,4,7,0.5369644029522772
1,100,4,10,0.5360554212924084
1,100,5,1,0.5655653182365763
1,100,5,3,0.5463181689784752
1,100,5,5,0.5393436802024415
1,100,5,7,0.5347623594649901
1,100,5,10,0.5331049191518561
